district,state,population,male_population,female_population,literate_population,literacy_rate,gender_ratio,literacy_index,population_weight
viluppuram,tamil nadu,3458873,1740819,1718054,2195776,63.48241175666178,986.9228219590894,0.6348241175666178,0.3127329760867576
salem,tamil nadu,3482056,1781571,1700485,2285562,65.63828956225862,954.4862371468777,0.6563828956225862,0.31482906015362544
namakkal,tamil nadu,1726601,869280,857321,1176131,68.11828557958671,986.2426375851279,0.6811828557958671,0.15611011715213938
erode,tamil nadu,2251744,1129868,1121876,1492662,66.28915187516876,992.9266073559036,0.6628915187516875,0.20359076569318965
the nilgiris,tamil nadu,735394,360143,375251,569647,77.46146963396492,1041.9500031931761,0.7746146963396492,0.06649043032697212
dindigul,tamil nadu,2159775,1080938,1078837,1481834,68.61057286059891,998.0563177536546,0.6861057286059891,0.19527541584434494
karur,tamil nadu,1064493,528184,536309,727044,68.29955669036809,1015.3828968692728,0.6829955669036809,0.09624581877204537
tiruchirappalli,tamil nadu,2722290,1352284,1370006,2038981,74.89947801299641,1013.1052352908116,0.7489947801299641,0.24613504267754827
perambalur,tamil nadu,565223,282157,283066,375823,66.49110174214425,1003.2216106635667,0.6649110174214425,0.051104469849770545
ariyalur,tamil nadu,754894,374703,380191,480604,63.66509735141622,1014.6462665097424,0.6366509735141622,0.06825351704154412
cuddalore,tamil nadu,2605914,1311697,1294217,1815281,69.66005017817164,986.6737516362391,0.6966005017817164,0.2356129411649826
nagapattinam,tamil nadu,1616450,798127,818323,1213008,75.0414797859507,1025.3042435602354,0.750414797859507,0.1461508471676871
thiruvarur,tamil nadu,1264277,626693,637584,946471,74.86262899665184,1017.378525051341,0.7486262899665184,0.11430922985840695
thanjavur,tamil nadu,2405890,1182416,1223474,1790998,74.44222304427883,1034.7238197047402,0.7444222304427883,0.21752783054982627
pudukkottai,tamil nadu,1618345,803188,815157,1110545,68.62226533897284,1014.9018660637361,0.6862226533897284,0.14632218303046216
sivaganga,tamil nadu,1339101,668672,670429,959744,71.67077016595462,1002.6275961906586,0.7167077016595462,0.12107441961897797
madurai,tamil nadu,3038252,1526475,1511777,2273430,74.82690705050142,990.3712802371477,0.7482690705050142,0.27470265316521986
theni,tamil nadu,1245899,625683,620216,870080,69.83551636208072,991.2623485055532,0.6983551636208073,0.11264758844095034
virudhunagar,tamil nadu,1942288,967709,974579,1398788,72.01753807880192,1007.0992416108562,0.7201753807880192,0.1756113932652619
ramanathapuram,tamil nadu,1353445,682658,670787,978946,72.32994321897085,982.610619080125,0.7232994321897085,0.12237132812327647
thoothukkudi,tamil nadu,1750176,865021,885155,1349697,77.11778701113488,1023.2757355023751,0.7711778701113488,0.15824164378270525
tirunelveli,tamil nadu,3077233,1520912,1556321,2273457,73.87991094596997,1023.2814258813132,0.7387991094596997,0.27822710871500095
kanniyakumari,tamil nadu,1870374,926345,944029,1548738,82.8036531731087,1019.090079829869,0.828036531731087,0.16910931029132703
dharmapuri,tamil nadu,1506843,774303,732540,917709,60.902761601573616,946.0637502373102,0.6090276160157362,0.1362407627818362
krishnagiri,tamil nadu,1879809,960232,919577,1187958,63.195675730885426,957.6612735255646,0.6319567573088543,0.16996237301706993
coimbatore,tamil nadu,3458045,1729297,1728748,2635907,76.22535276435094,999.682529952923,0.7622535276435094,0.3126581127124158
tiruppur,tamil nadu,2479052,1246159,1232893,1760566,71.0177116091151,989.3544884721773,0.710177116091151,0.22414275107349377
yanam,pondicherry,55626,27301,28325,39274,70.60367454068242,1037.5077835976706,0.7060367454068242,0.005029408286399061
pondicherry,pondicherry,950289,468258,482031,726649,76.46610662651047,1029.41327217047,0.7646610662651047,0.08592009799507204
mahe,pondicherry,41816,19143,22673,36470,87.21541993495313,1184.4016089432168,0.8721541993495313,0.0037807812336688442
karaikal,pondicherry,200222,97809,102413,154916,77.3721169501853,1047.071332903925,0.773721169501853,0.01810301272641198
nicobars,andaman and nicobar islands,36842,20727,16115,25332,68.7584821670919,777.4883002846528,0.6875848216709189,0.003331058499398019
north  and middle andaman,andaman and nicobar islands,105597,54861,50736,78683,74.51253350000474,924.8099742986822,0.7451253350000474,0.009547521425572244
south andaman,andaman and nicobar islands,238142,127283,110859,190266,79.89602842001831,870.9647007063002,0.7989602842001831,0.02153153827597967
